incident_id,topic,topic_prob
2860,-1,0.11216556996555746
4025,-1,0.08523914339239928
4282,-1,0.06732415319439185
1187,1,1.0
1129,1,1.0
1280,-1,0.12400299808401564
1161,1,0.13045735016061794
1066,-1,0.06493795389389263
1146,8,1.0
1236,1,0.7606039984573513
1493,-1,0.10687179683138433
1884,1,0.5186236180254638
2717,1,0.1605445118160485
2416,1,0.13528434683711404
1147,-1,0.05465420286984876
379,-1,0.06635150219716086
681,0,1.0
740,1,1.0
744,0,0.32256593336634237
924,1,0.45695290685557316
1247,-1,0.06390182815587243
3839,-1,0.04141446833633416
679,1,0.15652700452967416
1396,-1,0.07322043804403414
2285,1,0.5357560079927414
3924,1,0.09440161927564207
1030,0,0.5831050165255512
1171,-1,0.1202522414541306
1351,-1,0.04077294679275865
1864,-1,0.04971593869115917
171,-1,0.2258293009918464
473,0,0.18173904049712736
756,0,0.3279125284454773
778,2,0.14003687550878183
3243,-1,0.058602524758153376
1165,-1,0.018318395002595415
1169,-1,0.09032162069867458
1305,-1,0.047150663091361705
1795,1,0.26295656444697574
1674,-1,0.044655160335054685
2608,1,0.07522711887193324
2836,-1,0.05910966758370105
991,-1,0.10178635665259163
4026,-1,0.10428957466521588
97,-1,0.123593615074789
1320,5,0.17079218155702514
2936,-1,0.05059416426496553
1021,-1,0.024242887273746946
3880,-1,0.011637859692358279
282,-1,0.12770169018885424
403,0,0.151593657457325
334,0,0.2992375060953455
62,-1,0.018418337024960808
1325,-1,0.08356327217818955
616,0,0.1182779808838678
899,0,0.19506783230584235
46,1,0.1268757816504199
790,-1,0.10116038871356518
1113,0,0.4611348557696797
3989,4,0.1860069744146328
3890,4,0.13920793737412412
486,0,0.3231398974620467
2067,-1,0.05873452848419247
666,-1,0.07540513771511533
1222,-1,0.06650079438296976
2737,-1,0.07660438184160225
4266,1,0.0874608430421239
817,6,0.13281124250712614
2147,-1,0.06329138372673727
957,-1,0.07808347383916231
2210,-1,0.018318359614885985
842,-1,0.1247323422311805
911,-1,0.08340858556332041
1676,-1,0.09328441457516554
2591,-1,0.05267740267019394
1494,-1,0.08283927843330309
2573,-1,0.059717336903245384
1134,-1,0.11268878993401991
1189,-1,0.06794454982208993
423,-1,0.017759739144994624
2652,6,0.678474466509531
2336,6,0.33919622524723375
2459,6,0.28473456287331195
2996,6,0.5931693878185328
1237,-1,0.07941780862710923
2539,-1,0.08231305797642274
2108,1,0.12211423599562467
1016,-1,0.1102523604851964
2590,-1,0.05436609309770365
1095,-1,0.11812537431245558
3941,6,0.7680726495658586
1144,6,0.5328323148900298
1227,1,0.12017879230580539
